id,start_timestamp,duration,start_index,end_frame,norm_pos_x,norm_pos_y,dispersion,avg_pupil_size,confidence
0,81346.174,0.375,0,6,0.353430350628,0.431713078211,0.645851150481,85.59766209413213,0.9977763394971484
1,81347.446,0.15200000000186265,31,36,0.597829270882,0.537448579719,0.591879786854,89.08700253188037,0.9995963930335962
2,81347.86,0.3000000000029104,43,51,0.345133744523,0.425345614596,0.525376097817,83.38632426020118,0.9976409938868167
3,81348.215,0.24199999999837019,53,58,0.422948380559,0.455449478588,0.427185885852,84.9974603774701,0.9989845955332533
4,81348.514,0.5360000000073342,60,72,0.416106302863,0.554891017464,0.64685550458,84.993374038625,0.9989773207633906
5,81349.079,0.27000000000407454,72,79,0.418071173306,0.488360819686,0.644976161259,86.11586347660905,0.9987774023757614
6,81349.359,1.529000000009546,79,112,0.408200465436,0.539531537216,0.975788866427,88.00382826316536,0.998667779719404
7,81350.903,0.4489999999932479,113,124,0.388206810706,0.536572565135,0.967921842908,90.87493551352357,0.9977193096153182
8,81351.369,0.39899999999033753,124,134,0.371160468764,0.519949668993,0.533088601567,90.227501212649,0.9965956003291913
9,81351.82800000001,0.3049999999930151,136,143,0.361264652829,0.395397359598,0.908523238544,91.60144222022775,0.9955744244960951
10,81352.163,0.6809999999968568,143,158,0.354604168449,0.424204890663,0.982721918789,91.89804088922324,0.9951869787901677
11,81352.859,0.26400000001012813,159,165,0.344465844014,0.439915098296,0.903583224819,89.78657346022247,0.9953983723710547
12,81353.141,0.6440000000002328,165,180,0.360290691518,0.437689499018,0.242387318417,88.37633519484078,0.9956756667435261
13,81353.798,0.46199999999953434,181,189,0.348078940972,0.443158124311,0.292354567376,88.03602040978988,0.9959266406600397
14,81354.298,1.7270000000135042,189,233,0.353280004291,0.45584189993,0.880700633476,88.62326677794672,0.9959304076342722
15,81356.046,0.6019999999989523,233,249,0.363804151794,0.458208346073,0.889490571972,90.57354091345334,0.9960896408658225
16,81356.69900000001,0.29699999999138527,250,257,0.350428548315,0.459210224769,0.369140913933,89.45427197527299,0.995646286652387
17,81357.013,1.3169999999954598,258,294,0.356702345507,0.471395520716,0.974489068057,88.92260434558806,0.9953499856072057
18,81358.349,1.4440000000031432,294,337,0.355210743865,0.488086871007,0.597364059056,92.43775049534014,0.996180057777939
19,81359.957,0.20100000000093132,341,347,0.78547709774,-0.0193501871466,0.350512993673,105.20564337553294,0.9962583351763041
20,81360.505,1.2200000000011642,357,392,0.355879020077,0.485869939499,0.993360199362,96.0498672188852,0.996255548458388
21,81361.741,1.8570000000036089,393,445,0.345897982339,0.488804531118,0.997993419247,93.55069452992831,0.9954610147988946
22,81363.615,1.7079999999987194,445,493,0.343648457427,0.509742289071,0.805631776778,90.71741350937579,0.9950668752453673
23,81365.39,0.5090000000054715,495,509,100.0,-100.0,0.0,0.0,0.0
24,81366.182,0.3819999999977881,517,527,0.342551139205,0.505653041754,0.984630387075,92.41355160443713,0.9958504295782866
25,81366.583,1.2620000000024447,528,563,0.345431240871,0.520986799695,0.703374377185,88.11881371077365,0.9953111944307512
26,81368.014,0.23200000000360887,568,575,0.778235210253,-0.0870145538218,0.345709477685,98.78786851193972,0.9160881033120537
27,81368.265,0.23600000000442378,575,582,0.778035008003,-0.134629129032,0.673931223711,102.063428102928,0.6424433770333597
28,81368.523,0.3889999999955762,582,593,0.783886213037,-0.170901539186,0.823920606111,101.91839159408974,0.37523263522023287
29,81368.94,0.5010000000038417,594,608,0.801192113802,-0.171266413434,0.704777788436,102.20628631634416,0.32872448602665894
30,81369.474,0.5460000000020955,609,625,0.796808263517,-0.154655033699,0.581221538844,102.64474975171157,0.24120086473395577
31,81370.511,0.5639999999984866,640,655,0.368381177213,0.5201370585,0.99506095807,95.71481132261688,0.996503599143322
32,81371.098,0.294000000008964,655,664,0.363889176996,0.528164110481,0.967591831706,94.93830342347832,0.9967215690549059
33,81371.405,1.8950000000040745,664,718,0.358360905559,0.505341717494,0.952179220529,92.819575979322,0.9948962579845065
34,81373.39,0.26900000000023283,720,728,0.571752624272,0.119948055609,0.670873812882,104.86014360574461,0.9974804201309008
35,81373.957,0.39800000000104774,736,747,0.380299357133,0.467278658342,0.98887215731,98.79490332916738,0.9950935594993867
36,81374.367,0.9230000000097789,747,774,0.366236912157,0.488463073295,0.990398499623,94.29281758888159,0.994233031712696
37,81375.31,3.8410000000003492,775,880,0.362433504738,0.520806298196,0.97567872406,91.12438583537975,0.9940039280626958
38,81379.173,0.3010000000067521,881,889,0.378220479875,0.528298669645,0.804733296678,89.54977754006664,0.9947763094561293
39,81380.079,0.7410000000090804,906,927,0.387187683343,0.523995261569,0.406560501434,90.41621403554242,0.9951018769905137
40,81380.838,0.3779999999969732,928,937,0.366627979427,0.523853907319,0.886075025574,88.31539749771946,0.9944946504192724
41,81381.241,1.0850000000064028,938,970,0.375915408736,0.533260029476,0.986397112781,86.89745286195561,0.9944436541231835
42,81382.345,3.1820000000006985,970,1059,0.3737642659,0.545732381614,0.908419941905,88.54116274970032,0.9944762314523861
43,81385.547,0.5840000000025611,1060,1076,0.364259482283,0.520733917992,0.652684886216,90.24367021210458,0.9937994745641916
44,81386.325,0.5270000000018626,1081,1096,0.357209429359,0.491935531463,0.999935045725,88.47463854090982,0.992470544502173
45,81386.87,1.647000000011758,1096,1142,0.346437176,0.507904090191,0.749764579151,87.28502854830377,0.992267127222359
46,81388.535,0.4309999999968568,1143,1155,0.359490159665,0.513180642835,0.831492739221,88.6671440474086,0.9934567897325792
